trial.started,target.started,mouse.started,trial.stopped,mouse.time,motor resp,des time
0.0035954,0.2821778,0.2821778,2.576181,2.3837324,2.2940032,0.0897292
2.5783035,2.876108,2.876108,4.5829085,1.7598202,1.7068005,0.0530197
4.5847743,4.9019412,4.9019412,6.974585,2.1660695,2.0726438,0.0934257
6.9762132,7.248629,7.248629,9.1177868,1.9601263,1.8691578,0.0909685
9.1190221,9.3894143,9.3894143,10.7608384,1.4573376,1.3714241,0.0859135
10.7621988,11.0736076,11.0736076,12.5887139,1.5912059,1.5151063,0.0760996
12.5903219,12.8781182,12.8781182,14.0859382,1.2873062,1.20782,0.0794862
14.0872976,14.37875,14.37875,17.2883278,2.9999298,2.9095778,0.090352
17.2905835,17.6246988,17.6246988,19.2738455,1.7456839,1.6491467,0.0965372
19.2751691,19.525559,19.525559,21.4135138,1.9471685,1.8879548,0.0592137
21.4148381,21.6719368,21.6719368,27.3400432,5.7272847,5.6681064,0.0591783
27.3413718,27.6651676,27.6651676,30.4678274,2.8707372,2.8026598,0.0680774
30.4696094,30.7342443,30.7342443,32.4899905,1.8161564,1.7557462,0.0604102
32.4917592,32.7834808,32.7834808,34.2058544,1.4981826,1.4223736,0.075809
34.2072833,34.4621988,34.4621988,35.8925754,1.5068621,1.4303766,0.0764855
35.8941479,36.184219,36.184219,37.9528351,1.848639,1.7686161,0.0800229
37.9541094,38.2456875,38.2456875,40.2262832,2.0699161,1.9805957,0.0893204
40.227585,40.5307075,40.5307075,42.2909083,1.8466438,1.7602008,0.086443
42.2926595,42.6824983,42.6824983,45.5243834,2.9178401,2.8418851,0.075955
45.5257937,45.783128,45.783128,47.9456433,2.2430821,2.1625153,0.0805668
47.9469382,48.2520304,48.2520304,50.1938576,2.0279705,1.9418272,0.0861433
50.1972366,50.5664699,50.5664699,51.9248109,1.4495245,1.358341,0.0911835
51.9268834,52.1957143,52.1957143,53.8670567,1.7523542,1.6713424,0.0810118
53.8690029,54.1448146,54.1448146,56.7385905,2.6618863,2.5937759,0.0681104
56.7399745,57.0576052,57.0576052,60.740152,3.7454732,3.6825468,0.0629264
60.7414357,61.0215064,61.0215064,63.8957233,2.959452,2.8742169,0.0852351
63.8971599,64.1398403,64.1398403,70.5504193,6.4673006,6.410579,0.0567216
70.5517529,70.8152243,70.8152243,73.7716024,3.0231557,2.9563781,0.0667776
73.7733992,74.1281091,74.1281091,77.4696847,3.4088476,3.3415756,0.067272
77.4709603,77.7500915,77.7500915,79.9934677,2.3144145,2.2433762,0.0710383
